P(h),c_1,c_2,A

"exptected: 4.5*h**2 - 4.5*h + 1.0, for k >= 4, actual: 4*h**2 - 4*h + 6",2,4,"[(0, 0), (1, 1), (2, 1), (2, 4), (3, 5)]"

"exptected: 16.5*h**2 - 124.5*h + 188.0, for k >= 17, actual: 9*h**2 - 36*h + 66",3,6,"[(0, 1), (0, 2), (1, 0), (7, 6), (7, 8)]"

"exptected: 28.5*h**2 - 285.5*h + 967.0, for k >= 11, actual: 36*h**2 - 432*h + 1716",8,9,"[(0, 1), (1, 0), (1, 1), (7, 2), (7, 9)]"

"exptected: 24.0*h**2 - 216.0*h + 676.0, for k >= 10, actual: 27*h**2 - 270*h + 927",6,9,"[(0, 0), (1, 0), (1, 1), (1, 6), (8, 3)]"

"exptected: 9.0*h**2 - 34.0*h + 55.0, for k >= 6, actual: 9*h**2 - 36*h + 66",3,6,"[(0, 0), (1, 0), (1, 1), (3, 8), (4, 7)]"

"exptected: 7.0*h**2 - 28.0*h + 56.0, for k >= 5, actual: 4*h**2 - 4*h + 6",2,4,"[(0, 0), (1, 0), (1, 1), (6, 7), (7, 7)]"

"exptected: 8.5*h**2 - 30.5*h + 51.0, for k >= 4, actual: 9*h**2 - 36*h + 66",3,6,"[(0, 0), (0, 1), (1, 1), (2, 7), (3, 3)]"

"exptected: 10.5*h**2 - 43.5*h + 76.0, for k >= 5, actual: 14*h**2 - 84*h + 196",4,7,"[(0, 0), (1, 0), (2, 1), (1, 3), (7, 6)]"

"exptected: 12.0*h**2 - 72.0*h + 176.0, for k >= 7, actual: 9*h**2 - 36*h + 66",3,6,"[(0, 0), (1, 1), (3, 2), (0, 8), (2, 4)]"

"exptected: 32.0*h**2 - 352.0*h + 1296.0, for k >= 12, actual: 44*h**2 - 616*h + 2816",8,11,"[(0, 0), (1, 0), (1, 1), (6, 8), (8, 0)]"

