P(h),c_1,c_2,A

"14.0*h**2 - 84.0*h + 196.0, for k >= 7",4,7,"[(0, 1), (1, 0), (1, 1), (1, 4), (7, 2)]"

"9.0*h**2 - 36.0*h + 66.0, for k >= 5",3,6,"[(0, 1), (1, 0), (1, 1), (5, 2), (8, 5)]"

"9.0*h**2 - 36.0*h + 66.0, for k >= 5",3,6,"[(0, 1), (1, 0), (1, 1), (1, 3), (6, 7)]"

"6.0*h**2 - 12.0*h + 16.0, for k >= 3",3,4,"[(0, 2), (1, 0), (1, 1), (1, 4), (3, 0)]"

"22.5*h**2 - 202.5*h + 645.0, for k >= 10",5,9,"[(0, 1), (1, 0), (1, 1), (5, 1), (8, 9)]"

"16.0*h**2 - 112.0*h + 296.0, for k >= 8",4,8,"[(0, 1), (1, 0), (1, 1), (3, 6), (8, 9)]"

"25.0*h**2 - 250.0*h + 875.0, for k >= 11",5,10,"[(0, 2), (1, 0), (1, 1), (6, 0), (8, 6)]"

"4.0*h**2 - 4.0*h + 6.0, for k >= 2",2,4,"[(0, 1), (1, 0), (1, 1), (1, 2), (2, 7)]"

"4.0*h**2 - 4.0*h + 6.0, for k >= 2",2,4,"[(0, 3), (1, 2), (2, 0), (0, 0), (0, 4)]"

"4.0*h**2 - 4.0*h + 6.0, for k >= 2",2,4,"[(0, 1), (0, 2), (1, 0), (0, 3), (0, 9)]"

"10.0*h**2 - 40.0*h + 70.0, for k >= 5",4,5,"[(0, 1), (1, 0), (1, 1), (0, 5), (4, 1)]"

"3.0*h**2 + 2.0, for k >= 1",2,3,"[(0, 1), (1, 0), (1, 1), (1, 2), (3, 1)]"

"31.5*h**2 - 346.5*h + 1281.0, for k >= 12",7,9,"[(0, 1), (1, 0), (1, 1), (0, 9), (7, 1)]"

"4.0*h**2 - 4.0*h + 6.0, for k >= 2",2,4,"[(0, 1), (0, 2), (1, 0), (0, 3), (3, 0)]"

"16.0*h**2 - 112.0*h + 296.0, for k >= 8",4,8,"[(0, 1), (1, 0), (1, 1), (4, 5), (7, 2)]"

"9.0*h**2 - 36.0*h + 66.0, for k >= 5",3,6,"[(0, 2), (1, 0), (1, 1), (2, 4), (4, 0)]"

