b,c,k,A
0.0,2.0,1,"((0, 1), (0, 4), (1, 0), (1, 1), (1, 3))"
2.0,-1.0,2,"((0, 0), (1, 0), (1, 1), (3, 1), (4, 0))"
1.0,0.0,2,"((0, 1), (1, 0), (1, 1), (2, 3), (2, 4))"
-2.0,3.0,1,"((0, 1), (1, 0), (1, 1), (2, 2), (4, 1))"
-142.0,379.0,8,"((0, 1), (0, 2), (0, 6), (1, 0), (5, 9))"
-1.5,3.0,1,"((0, 0), (0, 1), (1, 0), (1, 1), (3, 4))"
2.0,-1.0,2,"((0, 0), (0, 1), (0, 4), (1, 0), (1, 2))"
-433.5,2151.0,15,"((0, 0), (2, 1), (3, 2), (10, 7), (13, 3))"
2.0,1.0,1,"((0, 0), (0, 1), (1, 0), (2, 0), (4, 0))"
-3.0,3.0,3,"((0, 3), (1, 1), (1, 2), (2, 0), (3, 2))"
-5.0,4.0,3,"((0, 0), (0, 1), (1, 0), (3, 2), (4, 4))"
-22.5,35.0,4,"((0, 0), (0, 4), (1, 0), (1, 1), (3, 3))"
-84.0,196.0,7,"((0, 0), (1, 0), (2, 1), (4, 0), (7, 7))"
-24.0,36.0,4,"((0, 1), (1, 0), (1, 1), (1, 4), (4, 2))"
-166.5,505.0,11,"((0, 0), (1, 0), (1, 6), (2, 1), (6, 8))"
-186.5,677.0,13,"((0, 0), (1, 1), (1, 8), (2, 1), (4, 9))"
-48.0,38.0,9,"((0, 0), (1, 1), (2, 1), (6, 4), (8, 9))"
-24.5,30.0,5,"((0, 0), (0, 1), (1, 0), (2, 4), (4, 1))"
-18.0,25.0,3,"((0, 0), (0, 1), (0, 3), (1, 0), (4, 2))"
3.0,0.0,1,"((0, 0), (0, 1), (1, 1), (2, 3), (3, 4))"
-1.5,3.0,1,"((0, 0), (0, 1), (0, 4), (1, 1), (1, 4))"
-20.5,-18.0,7,"((0, 0), (2, 1), (2, 3), (3, 2), (6, 10))"
-12.0,16.0,3,"((0, 0), (1, 0), (1, 1), (3, 0), (3, 4))"
-26.0,41.0,4,"((0, 0), (0, 1), (1, 0), (3, 0), (4, 4))"
-69.0,196.0,9,"((0, 0), (1, 0), (2, 1), (3, 1), (8, 9))"
0.0,2.0,1,"((0, 1), (1, 0), (1, 1), (1, 2), (3, 4))"
-120.0,282.0,7,"((0, 0), (1, 1), (2, 1), (2, 5), (9, 6))"
-4.0,6.0,2,"((0, 0), (1, 0), (1, 1), (1, 4), (2, 1))"
-286.0,991.0,11,"((0, 1), (0, 2), (0, 7), (1, 0), (8, 1))"
-158.5,477.0,15,"((0, 0), (1, 1), (1, 9), (2, 1), (4, 3))"
-168.0,476.0,9,"((0, 0), (2, 1), (3, 2), (7, 7), (12, 6))"
-211.0,631.0,11,"((0, 0), (1, 1), (1, 7), (2, 1), (7, 6))"
-36.0,66.0,5,"((0, 0), (0, 3), (0, 9), (1, 1), (2, 1))"
-2.5,1.0,3,"((0, 0), (1, 0), (1, 1), (3, 2), (4, 0))"
-18.0,9.0,6,"((0, 1), (0, 2), (1, 0), (3, 2), (7, 3))"
0.0,2.0,1,"((0, 0), (0, 4), (1, 0), (1, 1), (1, 2))"
-4.5,1.0,4,"((0, 0), (0, 1), (1, 0), (3, 3), (3, 4))"
1.5,1.0,1,"((0, 1), (0, 3), (1, 0), (1, 1), (1, 3))"
1.5,1.0,1,"((0, 0), (0, 2), (1, 0), (1, 1), (1, 3))"
-4.5,6.0,2,"((0, 0), (1, 0), (1, 1), (1, 3), (3, 0))"
-100.0,230.0,7,"((0, 0), (1, 0), (2, 1), (9, 5), (9, 8))"
-102.5,221.0,9,"((0, 1), (0, 2), (1, 0), (6, 0), (8, 3))"
-116.5,270.0,9,"((0, 0), (1, 1), (1, 5), (2, 1), (7, 0))"
-730.5,2941.0,26,"((0, 3), (1, 2), (2, 0), (9, 3), (11, 11))"
-26.5,39.0,4,"((0, 0), (1, 1), (2, 1), (3, 4), (8, 7))"
-4.5,6.0,2,"((0, 0), (0, 1), (1, 1), (3, 1), (3, 3))"
-6.0,7.0,2,"((0, 0), (0, 1), (1, 1), (1, 4), (3, 3))"
-734.5,3489.0,17,"((0, 0), (3, 2), (5, 3), (7, 8), (22, 11))"
2.0,-1.0,2,"((0, 0), (0, 1), (1, 0), (2, 1), (4, 0))"
-12.0,16.0,3,"((0, 0), (0, 1), (1, 0), (3, 0), (3, 3))"
-2.0,3.0,1,"((0, 0), (1, 1), (1, 2), (2, 1), (2, 5))"
2.0,1.0,1,"((0, 0), (0, 2), (1, 0), (1, 1), (2, 0))"
-11020.0,244080.0,67,"((0, 0), (3, 2), (5, 3), (10, 21), (22, 13))"
-304.5,1018.0,15,"((0, 0), (2, 1), (3, 2), (12, 3), (14, 0))"
1.5,1.0,1,"((0, 1), (1, 0), (1, 1), (3, 0), (3, 1))"
1.5,-15.0,5,"((0, 0), (1, 1), (2, 1), (7, 7), (9, 9))"
-12.0,16.0,3,"((0, 0), (1, 0), (1, 1), (1, 4), (3, 3))"
0.0,2.0,1,"((0, 0), (0, 1), (1, 1), (3, 3), (4, 3))"
-16.0,20.0,3,"((0, 0), (0, 1), (1, 1), (2, 4), (3, 0))"
-1224.0,7214.0,19,"((0, 0), (2, 1), (2, 13), (3, 2), (11, 10))"
-2.5,1.0,3,"((0, 1), (0, 3), (1, 0), (1, 1), (2, 4))"
-4.0,6.0,2,"((0, 0), (0, 1), (1, 0), (4, 0), (4, 1))"
-13.5,17.0,3,"((0, 0), (1, 0), (1, 1), (2, 4), (4, 3))"
-1.5,3.0,1,"((0, 0), (1, 1), (2, 1), (2, 3), (3, 5))"
-336.0,1470.0,13,"((0, 0), (1, 0), (1, 9), (2, 1), (6, 4))"
-1.5,3.0,1,"((0, 1), (0, 2), (1, 0), (1, 1), (3, 2))"
-150.0,395.0,8,"((0, 0), (1, 0), (2, 1), (8, 2), (9, 7))"
-1.5,3.0,1,"((0, 1), (1, 0), (1, 1), (4, 0), (4, 1))"
-19.5,26.0,3,"((0, 0), (0, 1), (1, 1), (3, 0), (3, 4))"
2.5,1.0,1,"((0, 0), (0, 1), (1, 1), (1, 2), (2, 2))"
-4.5,6.0,2,"((0, 1), (1, 0), (1, 1), (1, 3), (3, 0))"
-6.0,7.0,2,"((0, 0), (0, 1), (1, 0), (1, 3), (3, 1))"
-2712.0,32837.0,41,"((0, 0), (1, 14), (2, 1), (3, 2), (11, 7))"
-49.5,45.0,11,"((0, 0), (1, 1), (2, 1), (3, 8), (4, 9))"
-160.0,460.0,9,"((0, 0), (1, 0), (2, 1), (4, 8), (5, 0))"
0.0,2.0,1,"((0, 0), (0, 3), (1, 0), (1, 1), (1, 3))"
-160.0,460.0,9,"((0, 0), (1, 1), (2, 1), (2, 5), (8, 0))"
-28.0,56.0,5,"((0, 0), (0, 1), (0, 2), (1, 0), (5, 4))"
-4.0,6.0,2,"((0, 0), (1, 0), (1, 1), (1, 2), (4, 0))"
-4.0,6.0,2,"((0, 0), (1, 0), (1, 1), (3, 4), (4, 4))"
0.0,2.0,1,"((0, 0), (0, 1), (1, 1), (3, 1), (3, 2))"
-24.0,36.0,4,"((0, 0), (1, 0), (1, 1), (1, 4), (4, 1))"
2.5,1.0,1,"((0, 1), (0, 2), (1, 0), (1, 1), (2, 0))"
-394.0,1511.0,12,"((0, 1), (0, 2), (0, 8), (1, 0), (8, 5))"
-14.5,19.0,3,"((0, 0), (0, 4), (1, 0), (1, 1), (3, 1))"
-2.5,1.0,3,"((0, 0), (0, 1), (1, 1), (1, 3), (4, 4))"
-10.0,-7.0,6,"((0, 0), (0, 2), (1, 0), (2, 1), (7, 0))"
-320.5,1350.0,15,"((0, 1), (0, 2), (1, 0), (5, 8), (8, 5))"
-11.5,10.0,4,"((0, 0), (0, 1), (1, 0), (1, 4), (3, 1))"
-90.0,205.0,7,"((0, 0), (0, 4), (1, 1), (2, 1), (6, 6))"
-6.0,7.0,2,"((0, 0), (1, 0), (1, 1), (2, 4), (3, 2))"
-12.0,16.0,3,"((0, 0), (0, 1), (0, 4), (1, 1), (3, 2))"
1.0,0.0,2,"((0, 1), (1, 0), (1, 1), (2, 0), (3, 2))"
3.0,0.0,1,"((0, 0), (0, 1), (0, 3), (0, 4), (1, 1))"
0.0,2.0,1,"((0, 1), (1, 0), (1, 1), (2, 2), (3, 1))"
-4.5,6.0,2,"((0, 0), (0, 1), (0, 3), (1, 1), (3, 0))"
-6.0,7.0,2,"((0, 0), (1, 1), (1, 2), (2, 1), (4, 6))"
-4.5,6.0,2,"((0, 0), (0, 1), (0, 3), (1, 0), (3, 0))"
2.0,1.0,1,"((0, 0), (1, 0), (1, 1), (1, 2), (2, 3))"
-225.0,600.0,13,"((0, 0), (2, 1), (3, 2), (6, 11), (9, 10))"
-4.5,6.0,2,"((0, 1), (1, 0), (1, 1), (3, 1), (3, 3))"
-1.5,3.0,1,"((0, 0), (0, 1), (0, 4), (1, 0), (1, 3))"
-30.0,45.0,4,"((0, 0), (1, 1), (2, 1), (5, 5), (9, 6))"
-10.0,11.0,2,"((0, 0), (1, 0), (1, 1), (3, 4), (4, 2))"
-50.5,89.0,5,"((0, 0), (1, 1), (1, 4), (2, 1), (5, 8))"
-10.0,15.0,3,"((0, 0), (0, 4), (1, 0), (1, 1), (2, 2))"
-0.5,2.0,1,"((0, 0), (0, 1), (1, 0), (2, 1), (2, 3))"
3.5,-3.0,2,"((0, 0), (0, 1), (0, 4), (1, 1), (1, 2))"
2.5,1.0,1,"((0, 0), (1, 0), (1, 1), (2, 1), (2, 2))"
-233.5,711.0,12,"((0, 1), (0, 2), (1, 0), (2, 7), (8, 8))"
-258.0,831.0,10,"((0, 0), (0, 6), (1, 1), (2, 1), (9, 1))"
-151.5,454.0,9,"((0, 0), (1, 1), (2, 1), (3, 8), (5, 1))"
-24.0,36.0,4,"((0, 0), (0, 1), (0, 4), (1, 0), (4, 0))"
-39.5,58.0,6,"((0, 1), (0, 2), (1, 0), (1, 5), (4, 3))"
-15.0,-27.0,7,"((0, 0), (1, 0), (2, 1), (9, 0), (9, 1))"
-42.5,73.0,5,"((0, 0), (0, 4), (1, 0), (2, 1), (4, 4))"
-24.0,36.0,4,"((0, 1), (1, 0), (1, 1), (1, 4), (4, 0))"
-26.0,27.0,6,"((0, 0), (1, 0), (2, 1), (5, 6), (5, 8))"
-6.5,3.0,4,"((0, 1), (0, 2), (1, 0), (2, 0), (2, 4))"
-8.5,10.0,2,"((0, 0), (0, 1), (0, 4), (1, 0), (2, 3))"
-94.0,185.0,9,"((0, 3), (0, 8), (1, 2), (2, 0), (3, 7))"
-64.0,120.0,5,"((0, 0), (1, 1), (1, 4), (2, 1), (6, 8))"
-138.0,369.0,11,"((0, 0), (1, 1), (2, 1), (2, 7), (6, 4))"
-52.5,112.0,6,"((0, 0), (0, 7), (1, 0), (2, 1), (3, 0))"
-42.0,17.0,8,"((0, 0), (0, 3), (1, 0), (2, 1), (8, 0))"
-2.5,1.0,3,"((0, 0), (0, 1), (1, 0), (1, 2), (4, 3))"
-128.5,406.0,9,"((0, 0), (1, 0), (2, 1), (4, 8), (5, 3))"
-4.0,6.0,2,"((0, 0), (0, 1), (1, 0), (1, 1), (4, 4))"
-58.5,103.0,7,"((0, 1), (0, 2), (1, 0), (1, 4), (6, 6))"
-12.0,16.0,3,"((0, 0), (1, 0), (1, 1), (1, 3), (4, 0))"
2.0,-1.0,2,"((0, 1), (1, 0), (1, 1), (2, 3), (3, 4))"
-22.5,35.0,4,"((0, 0), (1, 1), (2, 1), (5, 2), (9, 6))"
1.0,0.0,2,"((0, 0), (0, 1), (1, 0), (1, 1), (2, 4))"
-20.5,12.0,6,"((0, 0), (1, 1), (2, 1), (5, 6), (5, 8))"
-22.5,35.0,4,"((0, 0), (1, 1), (2, 1), (3, 4), (7, 6))"
0.0,2.0,1,"((0, 0), (1, 0), (1, 1), (1, 3), (2, 0))"
2.0,1.0,1,"((0, 1), (0, 2), (1, 0), (1, 1), (2, 1))"
-13.5,17.0,3,"((0, 0), (0, 1), (1, 0), (3, 1), (3, 4))"
3.0,0.0,1,"((0, 0), (0, 1), (1, 1), (2, 0), (3, 0))"
-12.0,16.0,3,"((0, 0), (0, 1), (1, 1), (3, 1), (3, 4))"
-6.5,9.0,2,"((0, 0), (0, 1), (1, 0), (1, 4), (2, 0))"
-2.0,3.0,1,"((0, 0), (0, 1), (0, 3), (1, 1), (2, 4))"
-12.0,16.0,3,"((0, 0), (0, 1), (1, 0), (4, 0), (4, 2))"
-19.5,26.0,3,"((0, 0), (0, 1), (0, 4), (1, 0), (3, 3))"
0.5,0.0,2,"((0, 0), (0, 1), (1, 0), (1, 3), (2, 1))"
-54.0,47.0,10,"((0, 1), (0, 2), (1, 0), (2, 9), (3, 4))"
-18.0,31.0,4,"((0, 0), (0, 1), (0, 2), (1, 0), (3, 6))"
-40.0,92.0,6,"((0, 0), (1, 1), (2, 1), (4, 2), (4, 6))"
-0.5,2.0,1,"((0, 1), (1, 0), (1, 1), (2, 2), (4, 2))"
-1.5,3.0,1,"((0, 1), (0, 2), (0, 5), (0, 8), (1, 0))"
-118.0,265.0,9,"((0, 1), (0, 2), (1, 0), (1, 5), (7, 7))"
-50.5,89.0,5,"((0, 0), (1, 0), (2, 1), (2, 4), (6, 1))"
-12.0,16.0,3,"((0, 1), (1, 0), (1, 1), (1, 3), (4, 0))"
-10.0,15.0,3,"((0, 1), (1, 0), (1, 1), (2, 4), (3, 3))"
-43.5,76.0,5,"((0, 0), (1, 1), (2, 1), (6, 6), (9, 6))"
-134.0,331.0,7,"((0, 0), (1, 1), (1, 5), (2, 1), (8, 6))"
2.0,1.0,1,"((0, 0), (1, 0), (2, 0), (2, 1), (4, 2))"
-8.5,10.0,2,"((0, 0), (0, 1), (1, 1), (1, 4), (3, 2))"
-12.0,16.0,3,"((0, 0), (1, 0), (1, 1), (1, 4), (3, 1))"
-13.5,21.0,3,"((0, 1), (0, 2), (0, 3), (1, 0), (2, 6))"
-4.5,6.0,2,"((0, 0), (1, 0), (1, 1), (2, 3), (4, 3))"
-0.5,2.0,1,"((0, 0), (0, 1), (1, 1), (1, 3), (2, 0))"
-268.0,1013.0,23,"((0, 3), (1, 1), (1, 2), (2, 0), (13, 2))"
-6.5,9.0,2,"((0, 1), (1, 0), (1, 1), (2, 0), (2, 4))"
-268.5,886.0,10,"((0, 0), (1, 1), (2, 1), (3, 8), (9, 8))"
-12.0,16.0,3,"((0, 0), (1, 0), (1, 1), (1, 3), (4, 2))"
0.0,2.0,1,"((0, 1), (0, 3), (1, 0), (1, 1), (2, 1))"
-4.0,6.0,2,"((0, 1), (1, 0), (1, 1), (1, 4), (2, 0))"
-82.5,177.0,6,"((0, 0), (1, 1), (1, 5), (2, 1), (6, 1))"
5.0,-34.0,5,"((0, 0), (1, 0), (1, 1), (2, 1), (8, 1))"
-1282.0,7121.0,18,"((0, 0), (2, 1), (3, 2), (4, 14), (11, 3))"
3.5,-3.0,2,"((0, 0), (0, 1), (0, 4), (1, 0), (1, 1))"
-6.0,7.0,2,"((0, 0), (1, 0), (1, 1), (4, 2), (4, 4))"
0.0,2.0,1,"((0, 0), (0, 1), (1, 0), (1, 2), (2, 4))"
-40.0,46.0,7,"((0, 0), (0, 3), (1, 1), (2, 1), (2, 9))"
3.5,-3.0,2,"((0, 0), (0, 1), (1, 0), (1, 1), (4, 1))"
-9.0,11.0,4,"((0, 1), (1, 0), (1, 1), (3, 4), (4, 4))"
-754.5,4421.0,18,"((0, 0), (2, 1), (3, 2), (9, 12), (13, 8))"
-24.0,36.0,4,"((0, 0), (0, 1), (0, 4), (1, 1), (4, 4))"
-11.5,10.0,4,"((0, 0), (0, 1), (1, 0), (1, 3), (4, 2))"
-1.5,3.0,1,"((0, 0), (1, 0), (1, 1), (4, 0), (4, 1))"
2.0,-1.0,2,"((0, 0), (0, 1), (1, 1), (2, 0), (4, 1))"
-142.0,331.0,10,"((0, 1), (0, 2), (1, 0), (2, 5), (8, 3))"
-72.0,92.0,13,"((0, 0), (1, 1), (2, 1), (3, 2), (3, 9))"
-24.0,36.0,4,"((0, 0), (0, 1), (1, 1), (3, 0), (4, 4))"
3.0,0.0,1,"((0, 1), (1, 0), (1, 1), (2, 0), (3, 1))"
1.5,1.0,1,"((0, 0), (0, 1), (1, 0), (1, 1), (3, 2))"
-163.0,399.0,12,"((0, 1), (0, 2), (1, 0), (5, 1), (7, 7))"
-4.5,6.0,2,"((0, 0), (0, 3), (1, 0), (1, 1), (3, 0))"
-54.0,141.0,7,"((0, 0), (1, 0), (2, 0), (2, 1), (2, 9))"
-396.0,1606.0,13,"((0, 3), (1, 2), (1, 7), (2, 0), (8, 13))"
-340.5,1218.0,13,"((0, 0), (1, 0), (2, 1), (2, 8), (8, 1))"
1.5,1.0,1,"((0, 1), (0, 3), (1, 0), (1, 1), (2, 0))"
0.0,2.0,1,"((0, 0), (1, 0), (1, 1), (2, 0), (4, 2))"
-4.0,6.0,2,"((0, 0), (0, 1), (1, 1), (2, 1), (4, 4))"
-234.5,767.0,12,"((0, 0), (1, 1), (2, 1), (3, 7), (9, 5))"
2.5,1.0,1,"((0, 0), (0, 1), (1, 1), (1, 2), (1, 3))"
-89.5,211.0,7,"((0, 1), (0, 2), (1, 0), (4, 1), (5, 6))"
0.0,2.0,1,"((0, 0), (0, 1), (0, 2), (1, 1), (3, 0))"
-205.5,693.0,12,"((0, 0), (1, 0), (2, 1), (2, 7), (7, 9))"
-58.0,127.0,6,"((0, 0), (2, 1), (3, 2), (7, 7), (12, 10))"
-52.5,112.0,6,"((0, 0), (2, 1), (3, 2), (9, 8), (14, 14))"
-60.0,122.0,6,"((0, 0), (1, 1), (2, 1), (6, 6), (8, 4))"
-12.0,16.0,3,"((0, 1), (1, 0), (1, 1), (3, 1), (3, 4))"
-12.0,16.0,3,"((0, 1), (1, 0), (1, 1), (1, 4), (3, 0))"
2.0,1.0,1,"((0, 0), (1, 0), (1, 1), (1, 2), (2, 1))"
3.0,0.0,1,"((0, 0), (0, 1), (1, 0), (1, 2), (1, 3))"
-480.0,2512.0,16,"((0, 0), (2, 1), (3, 2), (12, 8), (14, 4))"
1.5,1.0,1,"((0, 0), (1, 0), (1, 1), (3, 1), (3, 2))"
-12.0,16.0,3,"((0, 0), (1, 0), (2, 1), (3, 4), (5, 4))"
-12.0,16.0,3,"((0, 0), (0, 3), (1, 0), (1, 1), (3, 3))"
-4.5,6.0,2,"((0, 0), (1, 0), (1, 1), (2, 4), (3, 3))"
-34.5,55.0,4,"((0, 0), (0, 1), (0, 4), (1, 0), (4, 3))"
0.0,2.0,1,"((0, 0), (1, 0), (1, 1), (2, 2), (3, 0))"
-2.0,3.0,1,"((0, 1), (0, 3), (1, 0), (1, 1), (2, 3))"
2.5,1.0,1,"((0, 0), (0, 1), (1, 1), (2, 1), (3, 1))"
-144.0,426.0,9,"((0, 0), (1, 1), (2, 1), (6, 2), (9, 9))"
-228.0,754.0,10,"((0, 0), (1, 0), (2, 1), (8, 3), (9, 9))"
-62.5,125.0,6,"((0, 0), (1, 0), (2, 1), (6, 5), (9, 4))"
-16.0,16.0,5,"((0, 0), (1, 0), (2, 1), (8, 6), (8, 7))"
-4.0,6.0,2,"((0, 0), (1, 0), (1, 1), (1, 4), (2, 2))"
0.0,2.0,1,"((0, 0), (0, 3), (1, 0), (1, 1), (2, 0))"
-7918.0,116371.0,53,"((0, 0), (1, 21), (3, 2), (5, 3), (15, 19))"
-11.5,11.0,5,"((0, 1), (0, 2), (1, 0), (1, 1), (4, 4))"
-26.5,39.0,4,"((0, 0), (1, 1), (2, 1), (3, 0), (7, 5))"
-3.0,3.0,3,"((0, 0), (0, 1), (1, 0), (3, 2), (3, 3))"
-1.5,3.0,1,"((0, 0), (0, 1), (1, 0), (1, 1), (4, 3))"
-36.0,20.0,8,"((0, 1), (0, 2), (1, 0), (5, 1), (7, 3))"
-30.0,45.0,4,"((0, 0), (0, 1), (1, 1), (2, 4), (4, 0))"
-13.5,17.0,3,"((0, 0), (1, 0), (2, 1), (5, 4), (9, 9))"
-56.0,112.0,8,"((0, 0), (0, 6), (1, 1), (2, 1), (2, 6))"
-24.0,36.0,4,"((0, 0), (0, 1), (0, 4), (1, 1), (4, 2))"
-1221.5,12541.0,44,"((0, 3), (1, 2), (2, 0), (11, 10), (12, 8))"
-8.0,4.0,4,"((0, 0), (1, 0), (1, 2), (2, 1), (6, 5))"
-4.0,6.0,2,"((0, 0), (1, 0), (1, 1), (2, 2), (4, 0))"
0.5,0.0,2,"((0, 0), (0, 1), (1, 0), (3, 1), (4, 2))"
-4.5,6.0,2,"((0, 1), (0, 3), (1, 0), (1, 1), (3, 1))"
2.0,1.0,1,"((0, 0), (0, 1), (1, 1), (2, 0), (2, 1))"
-2.0,3.0,1,"((0, 0), (0, 1), (0, 3), (1, 0), (2, 2))"
-31.0,-50.0,12,"((0, 0), (0, 8), (1, 0), (1, 7), (2, 1))"
2.0,1.0,1,"((0, 0), (0, 1), (1, 1), (2, 1), (4, 1))"
-12.0,16.0,3,"((0, 1), (0, 4), (1, 0), (1, 1), (3, 1))"
3.5,-3.0,2,"((0, 0), (0, 1), (1, 0), (1, 1), (1, 4))"
1.5,1.0,1,"((0, 0), (0, 1), (1, 0), (2, 1), (4, 1))"
0.5,0.0,2,"((0, 0), (1, 0), (1, 1), (3, 1), (4, 3))"
-56.0,98.0,7,"((0, 0), (1, 0), (1, 7), (2, 1), (3, 5))"
