Actual P(h),Expected P(h),c_1,c_2,A
"8.0*h**2 - 40.0*h + 92.0 for k >= 6,2,8,""[(0, 1), (1, 0), (1, 1), (1, 2), (8, 9)]"""
"9.0*h**2 - 36.0*h + 66.0 for k >= 5,3,6,""[(0, 0), (1, 1), (2, 1), (6, 3), (6, 6)]"""
"4.0*h**2 - 4.0*h + 6.0 for k >= 2,2,4,""[(0, 0), (1, 0), (1, 1), (1, 2), (1, 8)]"""
"4.5*h**2 - 4.5*h + 6.0 for k >= 2,3,3,""[(0, 0), (1, 1), (2, 1), (1, 2), (6, 3)]"""
"20.0*h**2 - 160.0*h + 460.0 for k >= 9,5,8,""[(0, 0), (1, 0), (2, 1), (0, 5), (8, 0)]"""
"3.0*h**2 + 2.0 for k >= 1,2,3,""[(0, 0), (0, 1), (1, 1), (2, 1), (6, 3)]"""
"4.5*h**2 - 4.5*h + 6.0 for k >= 2,3,3,""[(0, 0), (1, 1), (2, 1), (1, 2), (5, 1)]"""
"36.0*h**2 - 432.0*h + 1716.0 for k >= 13,8,9,""[(0, 0), (0, 1), (1, 0), (0, 8), (9, 0)]"""
"5.0*h**2 - 10.0*h + 15.0 for k >= 3,2,5,""[(0, 2), (1, 0), (1, 1), (1, 2), (3, 6)]"""
"12.0*h**2 - 72.0*h + 176.0 for k >= 7,3,8,""[(0, 0), (1, 0), (1, 1), (2, 3), (8, 0)]"""
"13.5*h**2 - 94.5*h + 261.0 for k >= 8,3,9,""[(0, 0), (1, 0), (1, 1), (1, 3), (9, 0)]"""
"6.0*h**2 - 12.0*h + 16.0 for k >= 3,3,4,""[(0, 0), (1, 0), (2, 1), (1, 4), (3, 0)]"""
"6.0*h**2 - 18.0*h + 31.0 for k >= 4,2,6,""[(0, 0), (1, 0), (2, 1), (2, 0), (2, 6)]"""
"18.0*h**2 - 144.0*h + 426.0 for k >= 9,4,9,""[(0, 0), (1, 0), (1, 1), (4, 0), (6, 9)]"""
"11.0*h**2 - 88.0*h + 286.0 for k >= 9,2,11,""[(0, 0), (1, 1), (3, 2), (1, 5), (5, 3)]"""
"12.0*h**2 - 60.0*h + 122.0 for k >= 6,4,6,""[(0, 2), (1, 0), (1, 1), (2, 2), (9, 8)]"""
"11.0*h**2 - 88.0*h + 286.0 for k >= 9,2,11,""[(0, 3), (1, 2), (2, 0), (2, 1), (6, 5)]"""
"14.0*h**2 - 84.0*h + 196.0 for k >= 7,4,7,""[(0, 0), (0, 1), (1, 1), (0, 7), (4, 3)]"""
"3.0*h**2 + 2.0 for k >= 1,2,3,""[(0, 0), (1, 1), (2, 1), (0, 1), (6, 2)]"""
"15.0*h**2 - 90.0*h + 205.0 for k >= 7,5,6,""[(0, 0), (1, 1), (3, 2), (6, 6), (9, 4)]"""
"14.0*h**2 - 84.0*h + 196.0 for k >= 7,4,7,""[(0, 0), (3, 2), (5, 3), (2, 2), (4, 8)]"""
"18.0*h**2 - 126.0*h + 321.0 for k >= 8,6,6,""[(0, 0), (3, 2), (5, 3), (6, 0), (8, 6)]"""
"12.0*h**2 - 72.0*h + 176.0 for k >= 7,3,8,""[(0, 0), (3, 2), (5, 3), (4, 3), (7, 9)]"""
"21.0*h**2 - 168.0*h + 476.0 for k >= 9,6,7,""[(0, 0), (1, 1), (2, 1), (6, 6), (9, 2)]"""
"17.5*h**2 - 122.5*h + 315.0 for k >= 8,5,7,""[(0, 0), (1, 0), (1, 1), (3, 5), (7, 0)]"""
"14.0*h**2 - 84.0*h + 196.0 for k >= 7,4,7,""[(0, 0), (1, 1), (2, 1), (4, 4), (7, 0)]"""
"31.5*h**2 - 346.5*h + 1281.0 for k >= 12,7,9,""[(0, 0), (1, 0), (1, 1), (5, 9), (7, 0)]"""
"32.0*h**2 - 352.0*h + 1296.0 for k >= 12,8,8,""[(0, 0), (0, 1), (1, 1), (0, 8), (8, 3)]"""
"6.0*h**2 - 18.0*h + 31.0 for k >= 4,2,6,""[(0, 1), (1, 0), (1, 1), (3, 4), (5, 8)]"""
"5.0*h**2 - 10.0*h + 15.0 for k >= 3,2,5,""[(0, 1), (1, 0), (1, 1), (4, 2), (7, 4)]"""
"8.0*h**2 - 24.0*h + 36.0 for k >= 4,4,4,""[(0, 0), (1, 0), (1, 1), (3, 4), (4, 0)]"""
"27.0*h**2 - 270.0*h + 927.0 for k >= 11,6,9,""[(0, 0), (1, 0), (1, 1), (6, 0), (6, 9)]"""
"36.0*h**2 - 432.0*h + 1716.0 for k >= 13,8,9,""[(0, 0), (1, 0), (2, 1), (5, 8), (9, 0)]"""
"3.0*h**2 + 2.0 for k >= 1,2,3,""[(0, 0), (1, 0), (2, 1), (2, 0), (2, 3)]"""
"24.0*h**2 - 216.0*h + 676.0 for k >= 10,6,8,""[(0, 0), (1, 0), (1, 1), (4, 6), (8, 0)]"""
"17.5*h**2 - 122.5*h + 315.0 for k >= 8,5,7,""[(0, 0), (3, 2), (5, 3), (0, 1), (0, 7)]"""
"21.0*h**2 - 168.0*h + 476.0 for k >= 9,6,7,""[(0, 0), (1, 0), (1, 1), (4, 6), (7, 0)]"""
"3.0*h**2 + 2.0 for k >= 1,2,3,""[(0, 0), (1, 1), (2, 1), (2, 2), (4, 5)]"""
"7.5*h**2 - 22.5*h + 35.0 for k >= 4,3,5,""[(0, 0), (1, 1), (2, 1), (3, 3), (8, 3)]"""
"18.0*h**2 - 126.0*h + 321.0 for k >= 8,6,6,""[(0, 0), (3, 2), (5, 3), (6, 0), (6, 6)]"""
"16.0*h**2 - 112.0*h + 296.0 for k >= 8,4,8,""[(0, 0), (0, 1), (1, 1), (0, 8), (4, 2)]"""
"22.5*h**2 - 202.5*h + 645.0 for k >= 10,5,9,""[(0, 0), (1, 0), (1, 1), (5, 5), (9, 0)]"""
"17.5*h**2 - 122.5*h + 315.0 for k >= 8,5,7,""[(0, 0), (2, 1), (3, 2), (5, 0), (9, 7)]"""
"7.0*h**2 - 28.0*h + 56.0 for k >= 5,2,7,""[(0, 0), (1, 1), (2, 1), (2, 2), (9, 2)]"""
"6.0*h**2 - 18.0*h + 31.0 for k >= 4,2,6,""[(0, 0), (2, 1), (3, 2), (3, 0), (6, 4)]"""
"3.0*h**2 + 2.0 for k >= 1,2,3,""[(0, 0), (1, 1), (2, 1), (1, 2), (3, 0)]"""
"12.0*h**2 - 60.0*h + 122.0 for k >= 6,4,6,""[(0, 0), (1, 1), (2, 1), (6, 6), (8, 4)]"""
"9.0*h**2 - 36.0*h + 66.0 for k >= 5,3,6,""[(0, 0), (2, 1), (3, 2), (3, 4), (6, 2)]"""
"20.0*h**2 - 160.0*h + 460.0 for k >= 9,5,8,""[(0, 0), (1, 1), (2, 1), (2, 5), (8, 0)]"""
"17.5*h**2 - 122.5*h + 315.0 for k >= 8,5,7,""[(0, 0), (3, 2), (5, 3), (7, 7), (8, 3)]"""
"10.5*h**2 - 52.5*h + 112.0 for k >= 6,3,7,""[(0, 0), (1, 0), (1, 1), (3, 3), (7, 0)]"""
