m,A,|A|,b,k,const
13,"{0, 4, 7, 8, 13}",5,14,2,-12
32,"{0, 32, 5, 8, 9, 12, 15, 20, 23, 25, 28}",11,84,3,-12
49,"{0, 7, 11, 12, 18, 19, 20, 22, 26, 29, 31, 34, 35, 39, 40, 43, 44, 48, 49}",19,184,4,-12
43,"{0, 3, 6, 8, 10, 11, 12, 14, 16, 17, 18, 19, 20, 23, 26, 27, 29, 35, 36, 37, 43}",21,117,3,-12
20,"{0, 4, 8, 9, 10, 13, 17, 20}",8,48,3,-12
44,"{0, 3, 12, 13, 14, 15, 16, 17, 20, 21, 22, 23, 26, 27, 30, 32, 33, 36, 38, 40, 42, 44}",22,120,3,-12
13,"{0, 1, 4, 5, 13}",5,14,2,-12
20,"{0, 5, 10, 13, 14, 17, 18, 20}",8,48,3,-12
49,"{0, 1, 5, 38, 7, 39, 43, 17, 49, 21, 23, 26, 31}",13,184,4,-12
27,"{0, 3, 7, 8, 9, 12, 14, 15, 19, 22, 27}",11,69,3,-12
25,"{0, 1, 3, 8, 9, 12, 15, 17, 25}",9,63,3,-12
26,"{0, 3, 5, 7, 9, 10, 13, 14, 17, 22, 26}",11,66,3,-12
45,"{0, 2, 3, 4, 36, 7, 40, 8, 13, 14, 15, 16, 45, 18, 19, 20, 28}",17,213,5,-12
36,"{0, 33, 32, 36, 6, 9, 13, 14, 16, 18, 21, 22, 24, 27}",14,96,3,-12
27,"{0, 2, 4, 8, 14, 15, 16, 18, 20, 23, 27}",11,69,3,-12
17,"{0, 6, 8, 13, 15, 17}",6,56,4,-12
34,"{0, 33, 34, 6, 7, 14, 18, 19, 21, 23, 28, 30}",12,90,3,-12
22,"{0, 3, 6, 13, 14, 16, 17, 22}",8,76,4,-12
33,"{0, 33, 5, 7, 15, 16, 18, 23, 24, 28, 30}",11,87,3,-12
46,"{0, 2, 3, 37, 6, 43, 13, 14, 46, 18, 19, 20, 24, 29, 31}",15,126,3,-12
13,"{0, 1, 2, 5, 13}",5,14,2,-12
43,"{0, 34, 3, 36, 4, 2, 7, 10, 11, 12, 43, 15, 16, 23, 24, 27, 28}",17,117,3,-12
33,"{0, 1, 33, 7, 12, 14, 15, 25, 29}",9,186,6,-12
15,"{0, 2, 3, 7, 11, 15}",6,18,2,-12
21,"{0, 4, 7, 9, 10, 13, 15, 17, 21}",9,30,2,-12
46,"{0, 34, 3, 4, 5, 6, 38, 40, 35, 10, 14, 46, 16, 19, 21, 26, 27, 29}",18,80,2,-12
39,"{0, 33, 2, 35, 5, 37, 7, 39, 9, 10, 12, 13, 15, 16, 21}",15,144,4,-12
38,"{0, 1, 32, 6, 7, 38, 11, 12, 15, 21, 22, 24, 26, 30}",14,178,5,-12
43,"{0, 4, 37, 38, 7, 6, 11, 43, 17, 21, 26, 29}",12,160,4,-12
