m,A,|A|,b,k,const
10,"{0, 3, 6, 7, 8, 9, 10}",7,7,1,-3
19,"{0, 1, 8, 11, 14, 16, 19}",7,130,7,-3
12,"{0, 3, 6, 7, 8, 9, 11, 12}",8,21,2,-3
8,"{0, 2, 3, 6, 8}",5,13,2,-3
6,"{0, 1, 2, 6}",4,9,2,-3
14,"{0, 2, 6, 9, 10, 11, 12, 13, 14}",9,25,2,-3
6,"{0, 1, 2, 6}",4,9,2,-3
9,"{0, 1, 3, 5, 7, 9}",6,6,1,-3
9,"{0, 1, 2, 3, 5, 9}",6,6,1,-3
19,"{0, 2, 3, 4, 6, 7, 8, 9, 15, 16, 19}",11,54,3,-3
13,"{0, 1, 2, 5, 6, 8, 9, 13}",8,23,2,-3
8,"{0, 1, 2, 5, 8}",5,5,1,-3
14,"{0, 1, 4, 6, 9, 11, 14}",7,53,4,-3
9,"{0, 2, 3, 4, 6, 9}",6,6,1,-3
10,"{0, 3, 4, 5, 8, 10}",6,17,2,-3
12,"{0, 1, 3, 4, 5, 6, 9, 12}",8,21,2,-3
8,"{0, 1, 2, 5, 8}",5,5,1,-3
10,"{0, 1, 5, 7, 10}",5,37,4,-3
8,"{0, 3, 4, 5, 8}",5,5,1,-3
8,"{0, 1, 3, 4, 8}",5,5,1,-3
6,"{0, 1, 2, 6}",4,9,2,-3
8,"{0, 2, 5, 6, 8}",5,13,2,-3
19,"{0, 3, 5, 8, 9, 12, 14, 18, 19}",9,73,4,-3
9,"{0, 3, 4, 5, 6, 9}",6,6,1,-3
9,"{0, 1, 2, 3, 4, 9}",6,6,1,-3
12,"{0, 2, 5, 9, 10, 12}",6,33,3,-3
6,"{0, 3, 5, 6}",4,9,2,-3
11,"{0, 2, 3, 4, 5, 7, 8, 11}",8,8,1,-3
13,"{0, 1, 4, 5, 6, 7, 8, 13}",8,36,3,-3
9,"{0, 2, 4, 5, 7, 9}",6,6,1,-3
7,"{0, 1, 6, 7}",4,25,4,-3
6,"{0, 1, 2, 6}",4,9,2,-3
14,"{0, 1, 5, 12, 14}",5,81,6,-3
18,"{0, 2, 3, 4, 5, 6, 12, 14, 15, 18}",10,51,3,-3
18,"{0, 3, 4, 7, 10, 12, 13, 14, 15, 16, 18}",11,51,3,-3
6,"{0, 1, 2, 6}",4,9,2,-3
16,"{0, 1, 2, 6, 7, 8, 11, 13, 16}",9,45,3,-3
6,"{0, 1, 2, 6}",4,9,2,-3
9,"{0, 1, 3, 5, 7, 9}",6,6,1,-3
11,"{0, 4, 5, 7, 8, 10, 11}",7,19,2,-3
9,"{0, 2, 3, 4, 5, 9}",6,6,1,-3
19,"{0, 1, 2, 3, 4, 5, 6, 8, 9, 11, 12, 13, 16, 19}",14,35,2,-3
14,"{0, 1, 3, 5, 7, 9, 10, 14}",8,25,2,-3
10,"{0, 3, 4, 6, 7, 8, 10}",7,7,1,-3
10,"{0, 1, 2, 3, 7, 10}",6,17,2,-3
8,"{0, 3, 4, 5, 8}",5,5,1,-3
11,"{0, 1, 2, 4, 6, 7, 11}",7,19,2,-3
6,"{0, 1, 2, 6}",4,9,2,-3
6,"{0, 2, 3, 6}",4,9,2,-3
12,"{0, 1, 2, 3, 6, 7, 8, 12}",8,21,2,-3
6,"{0, 1, 2, 6}",4,9,2,-3
8,"{0, 1, 3, 4, 8}",5,5,1,-3
8,"{0, 3, 4, 5, 8}",5,5,1,-3
12,"{0, 2, 3, 5, 6, 10, 12}",7,21,2,-3
17,"{0, 3, 4, 8, 14, 15, 17}",7,65,4,-3
13,"{0, 1, 4, 5, 6, 7, 8, 13}",8,36,3,-3
12,"{0, 1, 3, 4, 5, 7, 8, 12}",8,21,2,-3
9,"{0, 1, 2, 3, 4, 9}",6,6,1,-3
6,"{0, 1, 2, 6}",4,9,2,-3
19,"{0, 1, 4, 7, 10, 11, 13, 14, 15, 19}",10,54,3,-3
14,"{0, 3, 4, 6, 11, 12, 14}",7,39,3,-3
8,"{0, 1, 2, 5, 8}",5,5,1,-3
9,"{0, 2, 4, 5, 6, 9}",6,6,1,-3
6,"{0, 1, 2, 6}",4,9,2,-3
12,"{0, 1, 2, 4, 7, 9, 12}",7,33,3,-3
8,"{0, 1, 3, 5, 8}",5,13,2,-3
6,"{0, 2, 3, 6}",4,9,2,-3
11,"{0, 1, 2, 5, 9, 11}",6,30,3,-3
10,"{0, 1, 2, 5, 7, 10}",6,17,2,-3
12,"{0, 3, 5, 6, 8, 10, 11, 12}",8,21,2,-3
8,"{0, 8, 3, 7}",4,29,4,-3
16,"{0, 3, 4, 5, 10, 11, 12, 14, 16}",9,29,2,-3
8,"{0, 2, 3, 6, 8}",5,13,2,-3
9,"{0, 1, 3, 4, 6, 9}",6,6,1,-3
9,"{0, 2, 3, 4, 5, 9}",6,6,1,-3
6,"{0, 3, 4, 6}",4,9,2,-3
15,"{0, 3, 5, 11, 14, 15}",6,57,4,-3
6,"{0, 1, 3, 6}",4,9,2,-3
18,"{0, 1, 3, 7, 9, 10, 12, 13, 15, 18}",10,51,3,-3
13,"{0, 3, 5, 8, 11, 12, 13}",7,36,3,-3
19,"{0, 3, 4, 5, 6, 10, 11, 12, 13, 14, 15, 16, 19}",13,35,2,-3
6,"{0, 1, 2, 6}",4,9,2,-3
6,"{0, 1, 2, 6}",4,9,2,-3
15,"{0, 4, 5, 6, 7, 12, 13, 15}",8,42,3,-3
12,"{0, 1, 2, 5, 10, 12}",6,33,3,-3
12,"{0, 1, 4, 6, 7, 9, 12}",7,33,3,-3
10,"{0, 1, 5, 7, 10}",5,37,4,-3
15,"{0, 1, 2, 4, 5, 7, 8, 9, 12, 15}",10,27,2,-3
18,"{0, 5, 6, 7, 8, 9, 11, 13, 14, 16, 17, 18}",12,33,2,-3
8,"{0, 1, 3, 6, 8}",5,13,2,-3
6,"{0, 2, 3, 6}",4,9,2,-3
13,"{0, 1, 2, 3, 5, 7, 8, 10, 13}",9,23,2,-3
19,"{0, 2, 3, 5, 7, 9, 10, 12, 13, 17, 19}",11,35,2,-3
13,"{0, 2, 3, 5, 6, 7, 8, 9, 13}",9,23,2,-3
15,"{0, 2, 3, 9, 12, 14, 15}",7,42,3,-3
11,"{0, 1, 2, 3, 5, 6, 8, 11}",8,8,1,-3
12,"{0, 1, 2, 3, 5, 10, 12}",7,33,3,-3
14,"{0, 3, 7, 8, 9, 10, 11, 12, 13, 14}",10,25,2,-3
8,"{0, 1, 3, 4, 8}",5,5,1,-3
18,"{0, 1, 2, 3, 6, 8, 9, 12, 13, 15, 18}",11,33,2,-3
12,"{0, 2, 3, 5, 8, 10, 12}",7,33,3,-3
8,"{0, 1, 2, 5, 8}",5,5,1,-3
8,"{0, 3, 4, 5, 8}",5,5,1,-3
6,"{0, 1, 2, 6}",4,9,2,-3
