m,A,|A|,b,k,~k
86,"{0, 64, 10, 18, 86, 55, 24, 61, 62}",9,331,4,79
13,"{0, 1, 13}",3,78,10,12
90,"{0, 1, 4, 7, 8, 10, 14, 22, 23, 24, 25, 27, 29, 36, 37, 38, 40, 42, 45, 47, 49, 50, 51, 54, 57, 58, 59, 60, 66, 69, 71, 72, 73, 76, 86, 87, 90}",37,358,3,55
86,"{0, 2, 4, 7, 8, 11, 13, 15, 16, 20, 22, 25, 26, 29, 33, 34, 35, 36, 37, 42, 44, 48, 50, 52, 56, 60, 61, 62, 63, 66, 69, 74, 77, 84, 86}",35,424,4,53
11,"{0, 1, 11}",3,55,8,10
17,"{0, 1, 7, 14, 17}",5,129,7,14
26,"{0, 1, 3, 4, 6, 7, 9, 10, 11, 12, 13, 15, 16, 17, 18, 21, 24, 26}",18,77,2,10
91,"{0, 7, 9, 12, 14, 15, 21, 22, 23, 26, 27, 28, 29, 33, 36, 38, 40, 42, 46, 47, 48, 50, 52, 53, 56, 61, 62, 63, 65, 66, 67, 69, 70, 72, 73, 75, 76, 79, 83, 84, 85, 87, 91}",43,257,2,50
23,"{0, 1, 3, 7, 9, 11, 13, 14, 19, 21, 23}",11,66,2,14
32,"{0, 1, 32}",3,496,29,31
82,"{0, 3, 4, 5, 8, 11, 13, 16, 17, 19, 20, 22, 23, 25, 26, 28, 29, 31, 33, 34, 35, 45, 46, 48, 49, 51, 52, 54, 55, 56, 57, 58, 59, 67, 69, 72, 75, 79, 82}",39,321,3,45
49,"{0, 3, 5, 10, 11, 13, 15, 16, 17, 20, 21, 23, 24, 28, 32, 33, 43, 45, 49}",19,183,3,32
35,"{0, 1, 33, 35, 5, 10, 11, 15, 16, 23, 28, 30}",12,174,4,25
47,"{0, 1, 3, 5, 7, 9, 11, 14, 15, 16, 17, 19, 21, 22, 23, 25, 26, 27, 28, 29, 31, 32, 39, 40, 41, 43, 44, 45, 46, 47}",30,142,2,19
45,"{0, 2, 8, 9, 12, 13, 14, 15, 45, 18, 19, 20, 23, 24, 25, 29}",16,61,1,31
39,"{0, 1, 39}",3,741,36,38
97,"{0, 1, 2, 3, 4, 5, 6, 8, 11, 12, 13, 16, 17, 20, 25, 26, 27, 28, 29, 33, 35, 36, 37, 39, 40, 41, 42, 43, 44, 46, 48, 50, 51, 56, 57, 59, 60, 63, 65, 66, 69, 71, 74, 75, 77, 78, 79, 81, 82, 84, 85, 86, 88, 89, 90, 92, 93, 94, 97}",59,193,1,40
28,"{0, 2, 5, 8, 9, 11, 12, 16, 18, 19, 23, 28}",12,74,2,18
30,"{0, 2, 3, 4, 6, 7, 12, 14, 15, 16, 17, 18, 19, 23, 24, 25, 30}",17,54,1,15
32,"{0, 1, 2, 3, 4, 6, 7, 9, 10, 11, 14, 19, 20, 21, 23, 24, 28, 29, 30, 32}",20,64,1,14
54,"{32, 0, 33, 54, 28, 29}",6,141,4,50
72,"{0, 3, 4, 8, 10, 12, 14, 15, 18, 20, 22, 23, 24, 25, 26, 30, 33, 35, 37, 39, 40, 41, 42, 43, 51, 52, 54, 55, 56, 58, 59, 63, 64, 65, 68, 69, 72}",37,211,2,37
64,"{0, 1, 64, 4, 5, 38, 7, 13, 16, 17, 30, 58, 27, 60, 62}",15,239,3,51
47,"{0, 2, 3, 7, 8, 9, 10, 11, 13, 15, 17, 18, 19, 20, 21, 26, 27, 28, 29, 33, 34, 35, 36, 38, 39, 40, 45, 47}",28,138,2,21
75,"{0, 2, 4, 6, 11, 12, 13, 14, 16, 18, 19, 22, 25, 28, 29, 31, 32, 38, 39, 42, 44, 47, 49, 51, 53, 55, 57, 60, 62, 64, 66, 67, 72, 73, 75}",35,220,2,42
81,"{0, 66, 3, 4, 72, 14, 47, 81, 51, 54, 60, 29, 31}",13,367,4,70
53,"{0, 1, 6, 8, 10, 14, 18, 20, 22, 24, 25, 27, 28, 29, 30, 31, 40, 43, 44, 45, 47, 53}",22,259,4,33
56,"{0, 1, 3, 7, 8, 9, 15, 20, 25, 27, 28, 29, 37, 42, 44, 46, 47, 50, 51, 52, 55, 56}",22,169,2,36
87,"{0, 3, 6, 8, 9, 11, 17, 18, 19, 22, 23, 24, 25, 31, 32, 39, 40, 43, 44, 48, 49, 50, 51, 52, 54, 57, 59, 61, 63, 67, 70, 72, 73, 74, 75, 77, 78, 79, 80, 81, 82, 83, 85, 87}",44,166,1,45
12,"{0, 1, 12}",3,66,9,11
7,"{0, 1, 7}",3,21,4,6
